model,query_id,query,family,language,extra_docs,n_trials,pool_docs,top1_score_mean,top1_score_std,top10_mean_score_mean,top10_mean_score_std,iaea_priority_top10_mean,iaea_priority_top10_std,first_iaea_rank_mean,first_iaea_rank_std
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,25,10,38.0,0.6040704190731049,0.014192427246166121,0.5715819478034974,0.007892472123582127,0.35,0.05270462766947301,4.1,1.5951314818673867
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,30,10,43.0,0.6033029198646546,0.017910559232276115,0.5731295883655548,0.008298841490329353,0.32999999999999996,0.048304589153964815,4.2,1.9321835661585918
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,35,10,48.0,0.6040704190731049,0.014192427246166121,0.5727546274662018,0.008595856093465292,0.33999999999999997,0.0699205898780101,4.3,1.7029386365926402
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,40,10,53.0,0.608318281173706,0.007337249215418486,0.5760917365550995,0.006076184562121867,0.31,0.031622776601683805,5.0,1.3333333333333333
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,45,10,58.0,0.6065780997276307,0.008405874980602645,0.5760713636875152,0.00646755118247431,0.3,0.0,5.1,1.4491376746189437
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,50,10,63.0,0.6117986440658569,0.0,0.5803114175796509,0.0,0.3,0.0,6.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,51,10,64.0,0.6117986440658569,0.0,0.5803114175796509,0.0,0.3,0.0,6.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,0,1,13.0,0.6168930530548096,,0.5824519991874695,,1.0,,1.0,
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,5,10,18.0,0.6195503413677216,0.005642368031024895,0.5881288290023804,0.007270819444568708,0.8,0.20548046676563256,1.3,0.6749485577105528
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,10,10,23.0,0.6239647388458252,0.007502701503420904,0.5948535323143005,0.009402580468890264,0.61,0.21317702607092642,1.8,1.0327955589886446
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,15,10,28.0,0.6263363838195801,0.006634691675509379,0.6014943897724152,0.009131285464734582,0.47000000000000003,0.170293863659264,2.4,1.1737877907772671
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,20,10,33.0,0.6304651379585267,0.0014750558606807314,0.6063328802585601,0.0035162600847959318,0.38,0.07888106377466156,2.6,0.699205898780101
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,25,10,38.0,0.6292793154716492,0.004555637909224202,0.6069043457508088,0.00531400252585079,0.39,0.08755950357709133,2.8,1.0327955589886444
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,30,10,43.0,0.6283791363239288,0.0061188650220107225,0.6073263108730316,0.007589630767058304,0.38,0.11352924243950935,2.9,1.286683937707919
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,35,10,48.0,0.6269076704978943,0.0069667374640547085,0.6070521414279938,0.005379133501928736,0.37,0.08232726023485647,2.2,1.1352924243950933
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,40,10,53.0,0.6307507812976837,0.0013797884142550578,0.6111157655715942,0.0027197908388807987,0.31,0.031622776601683805,3.1,0.8755950357709131
