model,query_id,query,family,language,extra_docs,n_trials,pool_docs,top1_score_mean,top1_score_std,top10_mean_score_mean,top10_mean_score_std,iaea_priority_top10_mean,iaea_priority_top10_std,first_iaea_rank_mean,first_iaea_rank_std
sentence-transformers/all-MiniLM-L6-v2,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,20,10,33.0,0.5426927804946899,0.03204543370991186,0.500497791171074,0.018877679686621907,0.5599999999999999,0.27568097504180444,2.5,2.223610677354389
sentence-transformers/all-MiniLM-L6-v2,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,25,10,38.0,0.5517116665840149,0.03242763692631603,0.5051326006650925,0.014714775727986485,0.53,0.22135943621178658,2.8,1.9321835661585915
sentence-transformers/all-MiniLM-L6-v2,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,30,10,43.0,0.5698839664459229,0.02987809897924747,0.5174484193325043,0.016421340259205032,0.3,0.24494897427831783,4.3,2.110818693198342
sentence-transformers/all-MiniLM-L6-v2,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,35,10,48.0,0.5744606733322144,0.028662026629022695,0.5209046453237534,0.01617192514052788,0.26,0.2674987019698517,4.8,2.043961295567452
sentence-transformers/all-MiniLM-L6-v2,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,40,10,53.0,0.5743261456489563,0.02210759458204326,0.5229659616947174,0.012655522485763895,0.2,0.1632993161855452,4.8,1.932183566158592
sentence-transformers/all-MiniLM-L6-v2,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,45,10,58.0,0.5880562663078308,0.0,0.530845183134079,0.002144542129880056,0.11000000000000001,0.03162277660168379,5.9,0.31622776601683794
sentence-transformers/all-MiniLM-L6-v2,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,50,10,63.0,0.5834795594215393,0.014472817943658407,0.5289407014846802,0.008167041903974522,0.13,0.09486832980505139,5.6,1.2649110640673518
sentence-transformers/all-MiniLM-L6-v2,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,51,10,64.0,0.5880562663078308,0.0,0.5315233469009399,0.0,0.1,0.0,6.0,0.0
sentence-transformers/all-MiniLM-L6-v2,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,0,1,13.0,0.256350040435791,,0.1898384541273117,,1.0,,1.0,
sentence-transformers/all-MiniLM-L6-v2,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,5,10,18.0,0.256350040435791,0.0,0.20177983939647676,0.011976097289394111,0.6799999999999999,0.22010098692292238,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,10,10,23.0,0.2729251801967621,0.02668851054410846,0.22023558020591735,0.025353060225420655,0.51,0.18529256146249726,1.9,1.4491376746189437
sentence-transformers/all-MiniLM-L6-v2,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,15,10,28.0,0.2674001336097717,0.023295641857905537,0.22703231424093245,0.018422119394339798,0.44000000000000006,0.10749676997731399,1.6,1.2649110640673518
sentence-transformers/all-MiniLM-L6-v2,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,20,10,33.0,0.2784502267837524,0.028531217891245037,0.23487133979797364,0.020440468982236733,0.36,0.11737877907772672,2.2,1.5491933384829668
sentence-transformers/all-MiniLM-L6-v2,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,25,10,38.0,0.2950253665447235,0.02668851054410846,0.24566338956356049,0.01994244769688809,0.27999999999999997,0.13165611772087668,3.1,1.4491376746189437
sentence-transformers/all-MiniLM-L6-v2,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,30,10,43.0,0.2839752733707428,0.029119552322381923,0.24090270698070526,0.019336607448502127,0.35,0.10801234497346433,2.5,1.5811388300841898
sentence-transformers/all-MiniLM-L6-v2,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,35,10,48.0,0.2839752733707428,0.029119552322381927,0.2452859714627266,0.011512237502095976,0.33,0.08232726023485647,2.5,1.5811388300841898
sentence-transformers/all-MiniLM-L6-v2,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,40,10,53.0,0.2950253665447235,0.02668851054410845,0.25163919627666476,0.012508689551841359,0.21000000000000002,0.11972189997378647,3.1,1.4491376746189437
sentence-transformers/all-MiniLM-L6-v2,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,45,10,58.0,0.3116005063056946,0.0,0.2596060872077942,0.001139898759578088,0.12000000000000002,0.0421637021355784,4.0,0.0
sentence-transformers/all-MiniLM-L6-v2,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,50,10,63.0,0.3116005063056946,0.0,0.2596060872077942,0.0011398987595780858,0.12000000000000002,0.04216370213557839,4.0,0.0
sentence-transformers/all-MiniLM-L6-v2,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,51,10,64.0,0.3116005063056946,0.0,0.2600573003292084,0.0,0.1,0.0,4.0,0.0
sentence-transformers/all-MiniLM-L6-v2,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,0,1,13.0,0.5314745306968689,,0.5037814378738403,,1.0,,1.0,
sentence-transformers/all-MiniLM-L6-v2,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,5,10,18.0,0.5356298387050629,0.013140237685430553,0.5087681174278259,0.006836537455789606,0.78,0.20439612955674524,1.2,0.6324555320336759
sentence-transformers/all-MiniLM-L6-v2,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,10,10,23.0,0.540401554107666,0.01533394380794851,0.5109401285648346,0.007857466356982937,0.6900000000000001,0.19119507199599983,1.5,0.97182531580755
sentence-transformers/all-MiniLM-L6-v2,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,15,10,28.0,0.5621106028556824,0.008484078433728165,0.5218446016311645,0.004469348663342064,0.44000000000000006,0.09660917830792959,2.5,0.5270462766947299
sentence-transformers/all-MiniLM-L6-v2,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,20,10,33.0,0.54455686211586,0.01803783207856316,0.516042047739029,0.008180985699943829,0.53,0.1766981104093143,1.7,1.0593499054713802
sentence-transformers/all-MiniLM-L6-v2,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,25,10,38.0,0.5637533605098725,0.013002694295618457,0.5262725114822387,0.008966072145244936,0.4,0.13333333333333333,3.2,1.2292725943057183
sentence-transformers/all-MiniLM-L6-v2,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,30,10,43.0,0.5672295451164245,0.00970888482433256,0.5293653964996338,0.006608791041763939,0.32,0.0632455532033676,3.6,1.0749676997731399
sentence-transformers/all-MiniLM-L6-v2,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,35,10,48.0,0.571747875213623,0.004046879188709214,0.532348918914795,0.00367732939758819,0.3,0.047140452079103175,4.1,0.7378647873726218
sentence-transformers/all-MiniLM-L6-v2,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,40,10,53.0,0.5704681396484375,0.005395838918278945,0.532730084657669,0.0054310397400835105,0.27999999999999997,0.07888106377466156,4.2,1.0327955589886444
sentence-transformers/all-MiniLM-L6-v2,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,45,10,58.0,0.571747875213623,0.004046879188709214,0.5353207170963288,0.003588404921538844,0.22999999999999998,0.04830458915396478,4.7,0.6749485577105531
sentence-transformers/all-MiniLM-L6-v2,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,50,10,63.0,0.5704681396484375,0.005395838918278949,0.5344627201557159,0.004586399929810531,0.22999999999999998,0.04830458915396479,4.5,0.8498365855987975
sentence-transformers/all-MiniLM-L6-v2,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,51,10,64.0,0.5730276107788086,0.0,0.5370227098464966,0.0,0.2,0.0,5.0,0.0
sentence-transformers/all-MiniLM-L6-v2,obs_zero_zh,中子电流测量跨通道同步零值闪断,observation_derived,zh,0,1,13.0,0.24916169047355652,,0.1761578470468521,,1.0,,1.0,
sentence-transformers/all-MiniLM-L6-v2,obs_zero_zh,中子电流测量跨通道同步零值闪断,observation_derived,zh,5,10,18.0,0.24916169047355652,0.0,0.18191795349121093,0.013316047782028675,0.8099999999999999,0.2469817807045694,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,obs_zero_zh,中子电流测量跨通道同步零值闪断,observation_derived,zh,10,10,23.0,0.24916169047355652,0.0,0.2003240779042244,0.020730658562720605,0.48999999999999994,0.19119507199599978,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,obs_zero_zh,中子电流测量跨通道同步零值闪断,observation_derived,zh,15,10,28.0,0.25890052318573,0.015681010433357727,0.22082365155220032,0.024918311111855797,0.3,0.21081851067789192,1.6,0.9660917830792959
sentence-transformers/all-MiniLM-L6-v2,obs_zero_zh,中子电流测量跨通道同步零值闪断,observation_derived,zh,20,10,33.0,0.25890052318573,0.015681010433357727,0.22546728551387787,0.017266974435063094,0.27,0.1567021236472421,1.6,0.9660917830792959
sentence-transformers/all-MiniLM-L6-v2,obs_zero_zh,中子电流测量跨通道同步零值闪断,observation_derived,zh,25,10,38.0,0.26214680075645447,0.01676370529144348,0.22444399893283845,0.02514427379125827,0.29,0.19692073983655906,1.8,1.0327955589886444
sentence-transformers/all-MiniLM-L6-v2,obs_zero_zh,中子电流测量跨通道同步零值闪断,observation_derived,zh,30,10,43.0,0.26863935589790344,0.01676370529144348,0.23055761605501174,0.022712265620205053,0.25,0.17159383568311667,2.2,1.0327955589886444
sentence-transformers/all-MiniLM-L6-v2,obs_zero_zh,中子电流测量跨通道同步零值闪断,observation_derived,zh,35,10,48.0,0.26863935589790344,0.01676370529144348,0.2357560008764267,0.01645924430670576,0.19,0.08755950357709132,2.2,1.0327955589886444
sentence-transformers/all-MiniLM-L6-v2,obs_zero_zh,中子电流测量跨通道同步零值闪断,observation_derived,zh,40,10,53.0,0.26539307832717896,0.017109385067679537,0.2401858612895012,0.0053841889026366,0.19,0.03162277660168379,2.0,1.0540925533894598
